date,state,positive,lastUpdateEt,death,dateChecked,totalTestsViral,fips,positiveIncrease,totalTestResultsIncrease,deathIncrease
20200903,GA,277288.0,9/3/2020 14:50,5868.0,2020-09-03T14:50:00Z,2410665.0,13,2675,29028,73
20200903,GU,1560.0,9/3/2020 05:30,13.0,2020-09-03T05:30:00Z,39488.0,66,66,719,0
20200903,HI,8991.0,9/2/2020 05:59,75.0,2020-09-02T05:59:00Z,275704.0,15,338,5245,1
20200903,IA,65523.0,9/3/2020 00:00,1135.0,2020-09-03T00:00:00Z,,19,878,5104,9
20200903,ID,32664.0,9/2/2020 19:00,372.0,2020-09-02T19:00:00Z,258963.0,16,296,2304,4
20200903,IL,241705.0,9/3/2020 00:00,8324.0,2020-09-03T00:00:00Z,4160668.0,17,1360,40795,24
20200903,IN,96854.0,9/2/2020 23:59,3332.0,2020-09-02T23:59:00Z,1474901.0,18,1104,10442,7
20200903,KS,43940.0,9/2/2020 10:00,458.0,2020-09-02T10:00:00Z,,20,0,0,0
20200903,KY,50885.0,9/3/2020 00:00,976.0,2020-09-03T00:00:00Z,839705.0,21,894,7213,10
20200903,LA,151547.0,9/3/2020 13:00,5021.0,2020-09-03T13:00:00Z,,22,813,12320,17
20200903,MA,121546.0,9/3/2020 08:00,9077.0,2020-09-03T08:00:00Z,2560869.0,25,415,31606,17
20200903,MD,110012.0,9/3/2020 10:00,3778.0,2020-09-03T10:00:00Z,1989891.0,24,693,11959,12
20200903,ME,4617.0,9/2/2020 23:59,133.0,2020-09-02T23:59:00Z,280581.0,23,50,8021,0
20200903,MI,115242.0,9/3/2020 00:00,6791.0,2020-09-03T00:00:00Z,2881707.0,26,774,32635,10
20200903,MN,78123.0,9/2/2020 17:00,1889.0,2020-09-02T17:00:00Z,1540107.0,27,1038,7534,7
20200903,MO,88610.0,9/3/2020 00:00,1545.0,2020-09-03T00:00:00Z,1323249.0,29,1397,9981,3
20200903,MP,57.0,9/1/2020 00:00,2.0,2020-09-01T00:00:00Z,17626.0,69,0,0,0
20200903,MS,85116.0,9/2/2020 00:00,2536.0,2020-09-02T00:00:00Z,582297.0,28,751,4995,10
20200903,MT,7871.0,9/3/2020 01:59,111.0,2020-09-03T01:59:00Z,255660.0,30,180,1787,2
20200903,NC,172209.0,9/3/2020 12:15,2803.0,2020-09-03T12:15:00Z,2347837.0,37,1656,32527,24
20200903,ND,12629.0,9/3/2020 01:59,124.0,2020-09-03T01:59:00Z,486041.0,38,362,1802,2
20200903,NE,34995.0,9/2/2020 20:30,399.0,2020-09-02T20:30:00Z,,31,421,3324,0
20200903,NH,7347.0,9/3/2020 09:00,432.0,2020-09-03T09:00:00Z,337403.0,33,50,4594,0
20200903,NJ,192973.0,9/3/2020 00:00,15971.0,2020-09-03T00:00:00Z,2930015.0,34,378,27748,7
20200903,NM,25612.0,9/2/2020 17:50,790.0,2020-09-02T17:50:00Z,,35,152,5560,3
20200903,NV,70223.0,9/3/2020 02:59,1363.0,2020-09-03T02:59:00Z,868028.0,32,351,2960,27
20200903,NY,437107.0,9/2/2020 23:59,25343.0,2020-09-02T23:59:00Z,,36,889,88981,7
20200903,OH,127112.0,9/3/2020 14:00,4226.0,2020-09-03T14:00:00Z,2312887.0,39,1345,26780,50
20200903,OK,61027.0,9/3/2020 00:00,835.0,2020-09-03T00:00:00Z,914602.0,40,909,9804,14
20200903,OR,27336.0,9/3/2020 03:01,470.0,2020-09-03T03:01:00Z,,41,261,4743,2
20200903,PA,136771.0,9/3/2020 15:00,7732.0,2020-09-03T15:00:00Z,,42,1160,14518,20
20200903,PR,34198.0,9/3/2020 00:00,448.0,2020-09-03T00:00:00Z,310546.0,72,195,195,5
20200903,RI,22143.0,9/3/2020 12:00,1055.0,2020-09-03T12:00:00Z,,44,65,11454,4
20200903,SC,121696.0,9/2/2020 23:59,2807.0,2020-09-02T23:59:00Z,967551.0,45,1193,10393,13
20200903,SD,14337.0,9/2/2020 14:00,169.0,2020-09-02T14:00:00Z,198749.0,46,334,1612,0
20200903,TN,159546.0,9/3/2020 16:00,1815.0,2020-09-03T16:00:00Z,2260931.0,47,1715,26772,18
20200903,TX,625347.0,9/3/2020 17:00,13091.0,2020-09-03T17:00:00Z,5107503.0,48,3680,38641,221
20200903,UT,53326.0,9/3/2020 10:16,414.0,2020-09-03T10:16:00Z,836750.0,49,504,5234,4
20200903,VA,123668.0,9/2/2020 17:00,2652.0,2020-09-02T17:00:00Z,,51,1126,13840,11
20200903,VI,1144.0,9/2/2020 20:10,15.0,2020-09-02T20:10:00Z,16810.0,78,1,307,0
20200903,VT,1637.0,9/2/2020 23:39,58.0,2020-09-02T23:39:00Z,,50,0,1785,0
20200903,WA,75377.0,9/2/2020 02:59,1935.0,2020-09-02T02:59:00Z,,53,438,16314,4
20200903,WI,82922.0,9/3/2020 00:00,1154.0,2020-09-03T00:00:00Z,,55,740,9191,4
20200903,WV,10845.0,9/2/2020 23:59,237.0,2020-09-02T23:59:00Z,444902.0,54,203,3509,7
20200903,WY,3939.0,9/3/2020 16:56,41.0,2020-09-03T16:56:00Z,109885.0,56,28,691,0
20200902,AK,6233.0,9/2/2020 03:59,39.0,2020-09-02T03:59:00Z,376884.0,2,73,2629,0
20200902,AL,128239.0,9/2/2020 11:00,2217.0,2020-09-02T11:00:00Z,954214.0,1,623,5313,17
20200902,AR,62112.0,9/2/2020 14:35,841.0,2020-09-02T14:35:00Z,737449.0,5,615,6424,27
20200902,AS,0.0,8/15/2020 00:00,0.0,2020-08-15T00:00:00Z,1514.0,60,0,0,0
20200902,AZ,202861.0,9/2/2020 00:00,5065.0,2020-09-02T00:00:00Z,1212177.0,4,519,4937,21
20200902,CA,712052.0,9/2/2020 02:59,13163.0,2020-09-02T02:59:00Z,11580370.0,6,4255,109674,145
20200902,CO,57775.0,9/1/2020 01:59,1853.0,2020-09-01T01:59:00Z,,8,351,4672,4
20200902,CT,53108.0,9/1/2020 20:30,4467.0,2020-09-01T20:30:00Z,1201849.0,9,102,11641,1
20200902,DC,14077.0,9/1/2020 00:00,608.0,2020-09-01T00:00:00Z,,11,28,1953,1
